short_name,full_name,format,section,color1,color2,color3,color4,color5,source,city_val
mort85_13,Mortality by Age (85 and over),,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,Baltimore City Health Department,1036.5
narc13,"Number of Narcotics Calls for Service per 1,000 Residents",,Crime and Safety,#D8EEEA,#A0C3BE,#6B9893,#40736D,#164F4A,Baltimore City Police Department,
neibus13,"Neighborhood Businesses per 1,000 residents (NAICS Sectors)",,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,InfoUSA,25.44282169
neiemp13,Total number of Employees by Selected Neighborhood Industry (NAICS Sectors),,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,InfoUSA,183725
neiind13,Number  of Businesses by Selected Neighborhood Industry (NAICS Sectors),,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,InfoUSA,15833
nilf13,Percent  Population 16-64 Not in Labor Force,percent,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,American Community Survey,30.00451045
nomail13,Percent Residential Properties that do Not Receive Mail,percent,Housing,#F8E8D3,#EABA9F,#D88F70,#C26746,#AB4224,"U.S. Postal Service, U.S. Department of Housing and Urban Development",7.60657
novhcl13,Percent of Households with No Vehicles Available,percent,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,American Community Survey,30.28307552
numbus13,Total Number of Businesses,,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,InfoUSA,22869
othrcom13,"Percent of Population Using Other Means to Commute to Work (Taxi, Motorcycle, Bicycle, Other)",percent,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,American Community Survey,2.299151648
ownroc13,Percentage of Housing Units that are Owner-Occupied,percent,Housing,#F8E8D3,#EABA9F,#D88F70,#C26746,#AB4224,Maryland Property View,57.1797
owntax13,"Number of Homeowner's Tax Credits per 1,000 Residential Units",,Housing,#F8E8D3,#EABA9F,#D88F70,#C26746,#AB4224,Baltimore City Department of Finance,49.3274429
p2more13,Percent of Residents - Two or More Races,percent,Socioeconomic/Demographics,#E5D4E8,#BFA3CD,#9D78AD,#7B4F8C,#5E2C70,U.S. Bureau of the Census,
paa13,Percent of Residents - Black/African-American,percent,Socioeconomic/Demographics,#E5D4E8,#BFA3CD,#9D78AD,#7B4F8C,#5E2C70,U.S. Bureau of the Census,
pasi13,Percent of Residents - Asian,percent,Socioeconomic/Demographics,#E5D4E8,#BFA3CD,#9D78AD,#7B4F8C,#5E2C70,U.S. Bureau of the Census,
phisp13,Percent of Residents - Hispanic,percent,Socioeconomic/Demographics,#E5D4E8,#BFA3CD,#9D78AD,#7B4F8C,#5E2C70,U.S. Bureau of the Census,
ppac13,"Percent of Residents - All Other Races (Hawaiian/ Pacific Islander, Alaskan/ Native American Other Race)",percent,Socioeconomic/Demographics,#E5D4E8,#BFA3CD,#9D78AD,#7B4F8C,#5E2C70,U.S. Bureau of the Census,
prbprl13,Percent of Adult Population on Parole/Probation,percent,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,,5.252348682
prenatal13,Percent of Births Where the Mother Received Early Prenatal Care (First Trimester),percent,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,Maryland Department of Vital Statistics,49.4666364
prop13,"Property Crime Rate per 1,000 Residents",,Crime and Safety,#D8EEEA,#A0C3BE,#6B9893,#40736D,#164F4A,Baltimore City Police Department,47.64711471
pubtran13,Percent of Population that Uses Public Transportation to Get to Work,percent,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,American Community Survey,18.34864537
pwhite13,Percent of Residents - White/Caucasian,percent,Socioeconomic/Demographics,#E5D4E8,#BFA3CD,#9D78AD,#7B4F8C,#5E2C70,U.S. Bureau of the Census,
racdiv13,Racial Diversity Index,,Socioeconomic/Demographics,#E5D4E8,#BFA3CD,#9D78AD,#7B4F8C,#5E2C70,U.S. Bureau of the Census,
read313,Percentage of 3rd Grade Students Passing MSA Reading,percent,Education,#FAF184,#FAD156,#F2A72D,#AC5525,#690B0D,Baltimore City Public Schools,64.9
read513,Percentage of 5th Grade Students Passing MSA Reading,percent,Education,#FAF184,#FAD156,#F2A72D,#AC5525,#690B0D,Baltimore City Public Schools,73.6
read813,Percentage of 8th Grade Students Passing MSA Reading,percent,Education,#FAF184,#FAD156,#F2A72D,#AC5525,#690B0D,Baltimore City Public Schools,62
ready13,Kindergarten School Readiness,,Education,#FAF184,#FAD156,#F2A72D,#AC5525,#690B0D,Baltimore City Public Schools,77.6
regvote13,Percent  of Population (Over the age of 18) Who are Registered to Vote,percent,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,Baltimore City Board of Elections,
reosa13,Percentage of Residential Sales in Foreclosure (REO),percent,Housing,#F8E8D3,#EABA9F,#D88F70,#C26746,#AB4224,"RBIntel, Inc.",3.397597977
resrehab13,"Percentage of Properties with Rehabilitation Permits Exceeding $5,000",percent,Housing,#F8E8D3,#EABA9F,#D88F70,#C26746,#AB4224,Baltimore City Department of Housing,3.0856
salepr13,Median Price of Homes Sold,dollar,Housing,#F8E8D3,#EABA9F,#D88F70,#C26746,#AB4224,First American Real Estate Solutions,147000
sclemp13,Percentage of Population aged 16-19 in School and/or Employed,percent,Education,#FAF184,#FAD156,#F2A72D,#AC5525,#690B0D,American Community Survey,87.72971122
sclsw13,Percent of Students Switching Schools within School Year,percent,Education,#FAF184,#FAD156,#F2A72D,#AC5525,#690B0D,Baltimore City Public Schools,7.935569676
shomes13,Number of Homes Sold,,Housing,#F8E8D3,#EABA9F,#D88F70,#C26746,#AB4224,First American Real Estate Solutions,4935
shoot13,"Number of Shootings per 1,000 Residents",,Crime and Safety,#D8EEEA,#A0C3BE,#6B9893,#40736D,#164F4A,Baltimore City Police Department,
smlbus13,Number of Businesses with Under 50 Employees,,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,InfoUSA,21572
somecol13,Percent  Population (25 years and over) With Some College Education and Above,percent,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,American Community Survey,53.39542188
sped13,Percentage of Students Enrolled in Special Education Programs,percent,Education,#FAF184,#FAD156,#F2A72D,#AC5525,#690B0D,Baltimore City Public Schools,16.21749682
susp13,Percentage of Students Suspended or Expelled During School Year,percent,Education,#FAF184,#FAD156,#F2A72D,#AC5525,#690B0D,Baltimore City Public Schools,7.661994719
tanf13,Percent of Families Receiving TANF,percent,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,Maryland Department of Human Resources,9.79796774
teenbir13,"Teen Birth Rate per 1,000 Females (aged 15-19)",,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,Maryland Department of Vital Statistics,36.14779245
termbir13,Percent of Births Delivered at Term (37-42 Weeks),percent,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,Maryland Department of Vital Statistics,87.49432592
totalres13,Total Number of Residential Properties,,Housing,#F8E8D3,#EABA9F,#D88F70,#C26746,#AB4224,Maryland Property View,202362
totemp13,Total Number of Employees,,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,InfoUSA,340804
tpop13,Total Population,,Socioeconomic/Demographics,#E5D4E8,#BFA3CD,#9D78AD,#7B4F8C,#5E2C70,U.S. Bureau of the Census,
trav14_13,Percent of Employed Population with Travel Time to Work of 0-14 Minutes,percent,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,American Community Survey,17.07650807
trav29_13,Percent of Employed Population with Travel Time to Work of 15-29 Minutes,percent,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,American Community Survey,38.79354158
trav44_13,Percent of Employed Population with Travel Time to Work of 30-44 Minutes,percent,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,American Community Survey,23.96888072
trav45_13,Percent of Employed Population with Travel Time to Work of 45 Minutes and Over,percent,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,American Community Survey,20.16106963
treeplnt13,Number of Trees of Planted,,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,TreeBaltimore,6194
trees13,Percent of Area Covered by Trees,percent,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,University of Vermont Spatial Analysis Lab,
unempl13,Percent  Population 16-64 Unemployed and Looking for Work,percent,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,American Community Survey,9.909046946
unempr13,Unemployment Rate,percent,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,American Community Survey,14.17816855
vacant13,Percentage of Residential Properties that are Vacant and Abandoned,percent,Housing,#F8E8D3,#EABA9F,#D88F70,#C26746,#AB4224,Baltimore City Department of Housing,8.0331
vio13,Percentage of Residential Properties with Housing Violations (Excluding Vacants),percent,Housing,#F8E8D3,#EABA9F,#D88F70,#C26746,#AB4224,Baltimore City Department of Housing,5.8959
viol13,"Violent Crime Rate per 1,000 Residents",,Crime and Safety,#D8EEEA,#A0C3BE,#6B9893,#40736D,#164F4A,Baltimore City Police Department,14.82862853
voted13,Percent  Population (Over the age of 18) Who Voted in the General Election,percent,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,Baltimore City Board of Elections,
walked13,Percent of Population that Walks to Work,percent,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,American Community Survey,6.793463388
waterc13,Median Daily Water Consumption,cubic meters,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,Baltimore City Department of Public Works,
weather13,Percent of Residential Properties Weatherized,percent,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,Maryland Department of Housing and Community Development,0.480821498
wlksc13,Walk score,,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,Walk Score,
wrkout13,Percent of Employed Residents who Work Outside the City,percent,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,"U.S. Census Bureau, Longitudinal Employer-Household Dynamics",
wstud13,Percent of Students that are White (non-Hispanic),percent,Education,#FAF184,#FAD156,#F2A72D,#AC5525,#690B0D,Baltimore City Public Schools,8.09776956
,Percentage of Residential Tax Lien Sales,percent,Housing,#F8E8D3,#EABA9F,#D88F70,#C26746,#AB4224,,
,Percentage of Part 1 Crimes that Occur During Daytime ,percent,Crime and Safety,#D8EEEA,#A0C3BE,#6B9893,#40736D,#164F4A,,
,"Rate of Fire and EMS Calls for Service per 1,000 Residents",,Crime and Safety,#D8EEEA,#A0C3BE,#6B9893,#40736D,#164F4A,,
,Average Fire and EMS Response Time,,Crime and Safety,#D8EEEA,#A0C3BE,#6B9893,#40736D,#164F4A,,
,Number of Children Enrolled in Head Start Programs,,Education,#FAF184,#FAD156,#F2A72D,#AC5525,#690B0D,,
,Percent of Students Enrolled in CTE Programs,percent,Education,#FAF184,#FAD156,#F2A72D,#AC5525,#690B0D,,
,Percentage of Students Enrolled in After School Programs,percent,Education,#FAF184,#FAD156,#F2A72D,#AC5525,#690B0D,,
,Persons Receiving a GED,,Education,#FAF184,#FAD156,#F2A72D,#AC5525,#690B0D,,
,Percentage of Students Attending Zoned School ,percent,Education,#FAF184,#FAD156,#F2A72D,#AC5525,#690B0D,,
,Average Distance Travelled to School (6th-8th Grade),,Education,#FAF184,#FAD156,#F2A72D,#AC5525,#690B0D,,
,Average Distance Travelled to School (9th-12th Grade),,Education,#FAF184,#FAD156,#F2A72D,#AC5525,#690B0D,,
,Percent of Persons receiving SNAP,percent,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,,
,Fetal Mortality Rate,percent,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,,
,Number of Persons calling UWCM 211 for Health-Related Services ,,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,,
,"Rate of STDs per 1,000 Residents (Chlamydia, Gonorrhea, and Syphilis)",,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,,
,"Rate of HIV/AIDS per 1,000 Residents",,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,,
,Causes of Death (analysis of top causes),,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,,
,Causes of Death (analysis of top causes),,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,,
,Causes of Death (analysis of top causes),,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,,
,Causes of Death (analysis of top causes),,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,,
,Causes of Death (analysis of top causes),,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,,
,Percent of persons with health insurance,percent,Health and Human Welfare,#F9CBDF,#F49EBF,#E7719D,#D94680,#C61C65,,
,"Number of Event Permits Requested per 1,000 Residents",,Arts and Culture,#FFEBCC,#FDCB97,#FAAB67,#F6903B,#EE7722,,
,"Public Art per 1,000 Residents",,Arts and Culture,#FFEBCC,#FDCB97,#FAAB67,#F6903B,#EE7722,,
,Percentage of Businesses that are Non-Profits,percent,Arts and Culture,#FFEBCC,#FDCB97,#FAAB67,#F6903B,#EE7722,,
,CRA data (residential and commercial),,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,,
,CRA data (residential and commercial),,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,,
,Percent of CSA that is Either Low or Moderate income (by Census tract),percent,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,,
,"Percent  of persons in MOED training programs (per 1,000 residents)",percent,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,,
,Percent of Population with Broadband Internet Access,percent,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,,
,Air Quality Risk,,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,Percent of Area Covered by Impervious Surface,percent,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,"Number of Downspout Disconnections per 1,000 Residences",,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,Number of Public Trashcans,,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,"Rate of Sewer/Water Main Breaks per 1,000 Residents",,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,Natural gas utilization,,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,Energy Use,,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,Number of Photovoltaic/Solar Permits,,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,Aggregate Number of Community Assets,,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,Transit data ,,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,"Number of Bike Racks per 1,000 Residents",,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,Road Quality,,Sustainability,#D7E7AF,#B5C989,#98A767,#7A8748,#606B2E,,
,Percent  of persons by occupation classification (major classifications),percent,Economic and Workforce Development,#EFEBA9,#C9BC87,#A59065,#856B49,#674931,,
,Percent Subsidized Housing,percent,Housing,#F8E8D3,#EABA9F,#D88F70,#C26746,#AB4224,"Picture of Subsidized Housing, HUD",
